broker_name,channel,broker_commission_pct,minimum_fee_jmd,cess_pct,other_exchange_or_trade_fee_pct,gct_applies,source_url,source_date,verification_status,notes
Barita Investments Limited,Unverified,,,,,,,,unavailable_confirm_with_broker,Confirm official fee schedule directly with broker before using in product outputs.
BPM Financial Limited,Unverified,,,,,,,,unavailable_confirm_with_broker,Confirm official fee schedule directly with broker before using in product outputs.
CUMAX Wealth Management Limited,Unverified,,,,,,,,unavailable_confirm_with_broker,Confirm official fee schedule directly with broker before using in product outputs.
FHC Investments Limited,Unverified,,,,,,,,unavailable_confirm_with_broker,Confirm official fee schedule directly with broker before using in product outputs.
GK Capital Management Limited,Unverified,,,,,,,,unavailable_confirm_with_broker,Confirm official fee schedule directly with broker before using in product outputs.
Ideal Securities Broker Limited,Unverified,,,,,,,,unavailable_confirm_with_broker,Confirm official fee schedule directly with broker before using in product outputs.
JMMB Securities Limited,Unverified,,,,,,,,unavailable_confirm_with_broker,Confirm official fee schedule directly with broker before using in product outputs.
JN Fund Managers Limited,Unverified,,,,,,,,unavailable_confirm_with_broker,Confirm official fee schedule directly with broker before using in product outputs.
M/VL Stockbrokers Limited,Unverified,,,,,,,,unavailable_confirm_with_broker,Confirm official fee schedule directly with broker before using in product outputs.
Mayberry Investments Limited,Unverified,,,,,,,,unavailable_confirm_with_broker,Confirm official fee schedule directly with broker before using in product outputs.
NCB Capital Markets Limited,Unverified,,,,,,,,unavailable_confirm_with_broker,Confirm official fee schedule directly with broker before using in product outputs.
Proven Wealth Limited,Unverified,,,,,,,,unavailable_confirm_with_broker,Confirm official fee schedule directly with broker before using in product outputs.
Sagicor Investments Jamaica Limited,Unverified,,,,,,,,unavailable_confirm_with_broker,Confirm official fee schedule directly with broker before using in product outputs.
Scotia Investments Jamaica Limited,Unverified,,,,,,,,unavailable_confirm_with_broker,Confirm official fee schedule directly with broker before using in product outputs.
VM Wealth Management Limited,Unverified,,,,,,,,unavailable_confirm_with_broker,Confirm official fee schedule directly with broker before using in product outputs.
